word,overlap_ratio,neighbors
apple,0.167,"[['egg', -1.15, True], ['book', -0.91, False], ['dog', -0.71, False], ['milk', -0.49, False], ['car', -0.4, False], ['bear', 0.72, False]]"
baby,0.6,"[['dog', -1.4, True], ['puppy', -1.27, True], ['monkey', -1.2, True], ['cow', -0.83, False], ['bear', 0.13, False]]"
ball,0.0,"[['dog', -1.18, False], ['fish', -0.65, False], ['monkey', -0.61, False]]"
bear,0.222,"[['elephant', -1.92, True], ['monkey', -1.77, True], ['baby', -1.15, False], ['dog', -1.09, False], ['frog', -1.01, False], ['puppy', -0.96, False], ['cow', -0.75, False], ['duck', -0.61, False], ['cat', -0.27, False]]"
block,0.0,"[['ball', -0.99, False], ['dog', -0.69, False], ['truck', -0.64, False], ['water', -0.42, False]]"
book,0.125,"[['baby', -1.26, False], ['dog', -1.17, True], ['car', -0.8, False], ['train', -0.77, False], ['fish', -0.65, False], ['cat', -0.54, False], ['cow', -0.41, False], ['puppy', -0.13, False]]"
bottle,0.4,"[['milk', -2.73, True], ['water', -2.58, True], ['cup', -0.96, False], ['baby', -0.5, False], ['spoon', -0.21, False]]"
car,0.667,"[['truck', -2.67, True], ['train', -1.57, True], ['fish', -0.17, False]]"
cat,0.25,"[['dog', -2.34, True], ['puppy', -1.25, False], ['cow', -0.83, False], ['monkey', -0.65, False]]"
chair,0.2,"[['baby', -1.37, False], ['dog', -1.22, True], ['ball', -1.14, False], ['cat', -0.65, False], ['fish', 0.12, False]]"
cow,0.0,"[['pig', -1.59, False], ['dog', -1.13, False], ['elephant', -1.1, False], ['monkey', -1.02, False], ['frog', -0.83, False], ['puppy', -0.56, False], ['milk', -0.42, False]]"
cup,0.286,"[['milk', -1.69, True], ['water', -1.47, True], ['egg', -1.03, False], ['spoon', -0.75, False], ['dog', -0.46, False], ['fish', -0.39, False], ['bottle', -0.03, False]]"
dog,0.25,"[['puppy', -1.99, True], ['cat', -1.45, False], ['cow', -0.99, False], ['fish', -0.62, False]]"
duck,0.143,"[['fish', -1.33, True], ['frog', -1.2, False], ['cow', -1.19, False], ['pig', -1.04, False], ['dog', -1.0, False], ['elephant', -0.95, False], ['egg', -0.89, False]]"
egg,0.0,"[['duck', -1.3, False], ['fish', -1.0, False], ['milk', -0.99, False], ['cow', -0.97, False], ['spoon', -0.59, False], ['ball', -0.51, False], ['dog', -0.5, False]]"
elephant,0.5,"[['monkey', -1.66, True], ['giraffe', -1.45, False], ['cow', -1.31, True], ['frog', -1.17, True], ['bear', -0.54, False], ['puppy', -0.48, False]]"
fish,0.143,"[['duck', -1.25, True], ['frog', -1.21, False], ['dog', -0.99, False], ['cow', -0.84, False], ['pig', -0.83, False], ['water', -0.69, False], ['egg', -0.52, False]]"
frog,0.286,"[['monkey', -1.33, False], ['elephant', -1.26, True], ['fish', -1.2, True], ['cow', -1.16, False], ['pig', -1.13, False], ['duck', -1.1, False], ['bear', 0.49, False]]"
giraffe,0.286,"[['elephant', -1.83, False], ['cow', -1.24, True], ['monkey', -1.17, False], ['baby', -1.08, False], ['frog', -1.05, True], ['dog', -0.73, False], ['fish', -0.24, False]]"
milk,0.2,"[['water', -1.83, True], ['bottle', -1.69, False], ['cow', -1.2, False], ['cup', -1.13, False], ['egg', -1.07, False]]"
monkey,0.25,"[['elephant', -1.71, True], ['frog', -1.3, False], ['cow', -1.27, True], ['baby', -1.04, False], ['pig', -0.98, False], ['dog', -0.92, False], ['puppy', -0.79, False], ['cat', -0.39, False]]"
pig,0.333,"[['cow', -1.84, False], ['frog', -1.17, True], ['dog', -1.14, True], ['monkey', -1.07, False], ['duck', -0.99, False], ['fish', -0.91, False]]"
puppy,0.167,"[['dog', -2.42, True], ['baby', -1.12, False], ['cat', -0.94, False], ['cow', -0.92, False], ['monkey', -0.87, False], ['elephant', -0.55, False]]"
spoon,0.0,"[['egg', -1.47, False], ['cup', -1.03, False], ['fish', -0.96, False], ['ball', -0.8, False], ['milk', -0.57, False], ['dog', -0.48, False], ['bottle', 0.6, False]]"
train,0.25,"[['truck', -1.74, True], ['car', -1.69, False], ['dog', -1.14, False], ['fish', -0.09, False]]"
truck,0.333,"[['car', -2.79, False], ['train', -1.68, True], ['dog', -0.91, False]]"
water,0.25,"[['milk', -2.15, True], ['bottle', -1.7, False], ['fish', -1.57, False], ['cup', -1.14, False]]"
