word,overlap_ratio,overlap_words,img_neighbors,word_neighbors
apple,0.167,"[['egg', -1.18, True]]","[['puppy', -0.31, False]]","[['milk', -0.66, False], ['car', -0.6, False], ['book', -0.24, False], ['bear', 1.04, False]]"
baby,0.0,[],"[['elephant', -0.96, False], ['frog', -0.87, False], ['cow', -0.79, False], ['pig', -0.64, False], ['train', -0.17, False]]","[['puppy', -1.15, False], ['dog', -1.04, False], ['monkey', -1.03, False], ['bear', -0.06, False]]"
ball,0.0,[],"[['fish', -0.71, False], ['frog', -0.71, False], ['spoon', -0.43, False], ['cow', -0.4, False]]","[['dog', -0.97, False], ['monkey', -0.91, False]]"
bear,0.222,"[['monkey', -1.57, True], ['elephant', -1.4, True]]","[['puppy', -1.47, False], ['cow', -1.19, False]]","[['frog', -1.08, False], ['baby', -0.94, False], ['duck', -0.49, False], ['dog', -0.48, False], ['cat', -0.19, False]]"
block,0.0,[],"[['egg', -1.19, False], ['fish', -1.0, False], ['train', -0.89, False], ['duck', -0.57, False], ['cow', -0.45, False], ['puppy', 0.07, False]]","[['water', -1.04, False], ['ball', -0.59, False], ['truck', -0.43, False]]"
book,0.0,[],"[['fish', -0.65, False], ['monkey', -0.57, False], ['pig', -0.55, False], ['puppy', -0.17, False]]","[['car', -1.38, False], ['baby', -1.25, False], ['dog', -0.95, False], ['train', -0.78, False], ['cat', -0.4, False]]"
bottle,0.333,"[['water', -2.84, True], ['milk', -2.59, True]]","[['egg', -0.58, False]]","[['spoon', -0.62, False], ['baby', -0.38, False], ['cup', -0.18, False]]"
car,0.5,"[['truck', -3.08, True]]",[],"[['train', -1.62, False]]"
cat,0.0,[],"[['elephant', -0.83, False], ['train', -0.5, False], ['truck', -0.32, False]]","[['dog', -1.88, False], ['puppy', -1.17, False], ['monkey', -0.47, False]]"
chair,0.0,[],"[['frog', -0.79, False], ['spoon', -0.26, False], ['giraffe', -0.19, False]]","[['baby', -1.58, False], ['ball', -0.96, False], ['dog', -0.85, False], ['cat', -0.48, False]]"
cow,0.222,"[['elephant', -1.32, True], ['monkey', -1.24, True]]","[['frog', -0.85, False], ['egg', -0.82, False], ['fish', -0.75, False], ['giraffe', -0.65, False]]","[['pig', -1.55, False], ['dog', -0.9, False], ['milk', -0.24, False]]"
cup,0.143,"[['egg', -1.32, True]]","[['duck', -0.79, False], ['fish', -0.39, False]]","[['spoon', -1.25, False], ['milk', -0.93, False], ['water', -0.16, False], ['bottle', 0.47, False]]"
dog,0.0,[],"[['cow', -1.18, False], ['frog', -0.49, False]]","[['puppy', -1.58, False], ['cat', -1.19, False]]"
duck,0.143,"[['fish', -1.31, True]]","[['giraffe', -0.2, False]]","[['cow', -1.41, False], ['pig', -1.41, False], ['egg', -1.24, False], ['frog', -0.95, False], ['elephant', -0.76, False]]"
egg,0.0,[],"[['elephant', -0.61, False], ['train', 0.29, False]]","[['cow', -1.5, False], ['duck', -1.29, False], ['fish', -1.07, False], ['milk', -0.82, False], ['spoon', -0.54, False]]"
elephant,0.25,"[['cow', -1.6, True], ['giraffe', -1.57, True]]","[['train', -0.6, False], ['fish', -0.54, False], ['egg', -0.43, False]]","[['monkey', -1.14, False], ['frog', -1.05, False], ['bear', -0.22, False]]"
fish,0.25,"[['duck', -1.22, True], ['pig', -1.16, True]]","[['cow', -1.15, False], ['monkey', -0.45, False], ['giraffe', 0.27, False]]","[['frog', -1.09, False], ['egg', -0.91, False], ['water', -0.72, False]]"
frog,0.1,"[['monkey', -1.53, True]]","[['cow', -1.21, False], ['giraffe', -1.03, False], ['baby', -0.81, False], ['puppy', -0.32, False]]","[['elephant', -1.1, False], ['fish', -0.94, False], ['pig', -0.78, False], ['duck', -0.7, False], ['bear', 0.08, False]]"
giraffe,0.429,"[['monkey', -1.44, True], ['frog', -1.27, True], ['cow', -1.25, True]]","[['puppy', -0.46, False], ['fish', -0.32, False]]","[['elephant', -1.84, False], ['baby', -0.85, False]]"
milk,0.2,"[['water', -2.0, True]]",[],"[['bottle', -2.12, False], ['egg', -1.43, False], ['cow', -1.09, False], ['cup', -0.6, False]]"
monkey,0.375,"[['cow', -1.49, True], ['frog', -1.43, True], ['pig', -1.28, True]]","[['giraffe', -1.12, False], ['puppy', -1.0, False], ['fish', -0.44, False]]","[['elephant', -1.13, False], ['cat', 0.03, False]]"
pig,0.125,"[['monkey', -1.28, True]]","[['puppy', -1.06, False], ['fish', -0.98, False], ['train', -0.08, False]]","[['cow', -1.7, False], ['duck', -1.09, False], ['frog', -0.8, False], ['dog', -0.59, False]]"
puppy,0.0,[],"[['pig', -1.26, False], ['monkey', -1.19, False], ['cow', -0.93, False], ['bear', -0.78, False], ['giraffe', -0.26, False]]","[['dog', -1.68, False], ['baby', -0.92, False], ['cat', -0.69, False]]"
spoon,0.0,[],"[['frog', -1.22, False], ['ball', -0.78, False], ['giraffe', 0.15, False]]","[['egg', -1.37, False], ['cup', -1.08, False], ['fish', -0.78, False], ['milk', -0.61, False], ['bottle', 0.19, False]]"
train,0.25,"[['truck', -2.06, True]]","[['elephant', -0.95, False]]","[['car', -1.79, False], ['dog', -0.82, False]]"
truck,0.5,"[['train', -2.0, True]]",[],"[['car', -3.26, False]]"
water,0.25,"[['milk', -2.2, True]]","[['egg', -0.74, False]]","[['bottle', -2.51, False], ['fish', -1.66, False]]"
